,,weekday,holiday,rush hour,accident,construction,match,concert,festival,weather,temperature,humidity,precipitation,wind-speed,wind-direction,solar-radiation,Ginza-Line・inbound,Ginza-Line・outbound,Chiyoda-Line・inbound,Chiyoda-Line・outbound,Nanboku-Line・inbound,Nanboku-Line・outbound,Marunouchi-Line・inbound,Marunouchi-Line・outbound,delay
,3:00~4:00,0,1,0,0,0,0,0,0,2,26,77,0,2.9,8,0,0,0,0,0,0,0,0,0,0
,4:00~5:00,0,1,0,0,0,0,0,0,2,25,83,0,2.6,9,0,0,0,0,0,0,0,0,0,0
,5:00~6:00,0,1,0,0,0,0,0,0,2,24.6,86,0,3.1,9,0.01,1,1,1,1,3,1,3,2,0
,6:00~7:00,0,1,0,0,0,0,0,0,2,25.5,79,0,5.2,8,0.1,2,2,2,2,4,3,3,3,0
,7:00~8:00,0,1,0,0,0,0,0,0,2,25.7,79,0,4.1,9,0.27,3,3,4,4,4,3,3,3,0
,8:00~9:00,0,1,0,0,0,0,0,0,2,25.9,79,0,3.9,8,0.38,4,4,5,5,4,3,3,3,0
,9:00~10:00,0,1,0,0,1,0,0,0,2,27.5,74,0,3.1,8,0.93,3,3,4,4,3,3,3,2,0
,10:00~11:00,0,1,0,0,1,0,0,0,2,28.8,74,0,4.8,7,1.9,2,2,3,3,3,2,2,2,0
,11:00~12:00,0,1,0,0,1,0,0,0,2,29.8,67,0,6.2,6,2.71,2,2,2,2,3,2,2,2,0
,12:00~13:00,0,1,0,0,1,0,0,0,2,30.2,66,0,5.7,6,2.51,2,2,2,2,3,2,2,2,0
,13:00~14:00,0,1,0,0,1,0,0,0,2,29.8,66,0,6.5,6,2.97,2,2,2,2,4,4,3,3,0
,14:00~15:00,0,1,0,0,1,1,0,0,2,31.4,65,0,6.4,6,2.85,2,2,2,2,5,4,3,3,0
,15:00~16:00,0,1,0,0,1,1,0,0,4,30.2,61,0,6.4,7,2.6,2,2,2,2,5,4,3,3,0
,16:00~17:00,0,1,0,0,1,1,0,0,4,30.1,60,0,5.9,7,2.03,2,2,2,2,5,4,3,3,0
,17:00~18:00,0,1,0,0,1,1,0,0,4,29.5,62,0,5.1,7,1.27,2,2,2,2,5,4,3,3,0
,18:00~19:00,0,1,0,0,0,0,0,0,4,28.1,68,0,3.9,7,0.69,3,3,3,3,4,4,3,3,0
,19:00~20:00,0,1,0,0,0,0,0,0,4,27.2,76,0,4.9,7,0.14,2,2,2,2,3,3,3,3,0
,20:00~21:00,0,1,0,0,0,0,0,0,4,26.6,80,0,4.1,8,0,2,2,2,2,3,3,3,3,0
,21:00~22:00,0,1,0,0,0,0,0,0,4,26.3,84,0,3.7,7,0,2,2,2,2,3,3,3,3,0
,22:00~23:00,0,1,0,0,0,0,0,0,4,25.9,86,0,2.6,7,0,2,2,2,2,2,2,2,2,0
,23:00~0:00,0,1,0,0,0,0,0,0,4,25.6,89,0,2.7,7,0,1,1,1,1,1,1,1,1,0
2022.07.11,0:00~1:00,1,0,0,0,0,0,0,0,4,25.5,89,0,2.7,6,0,1,1,1,1,1,1,1,1,0
,1:00~2:00,1,0,0,0,0,0,0,0,2,25.3,90,0,2.3,7,0,0,0,0,0,0,0,0,0,0
,2:00~3:00,1,0,0,0,0,0,0,0,2,25.4,89,0,1.7,6,0,0,0,0,0,0,0,0,0,0
,3:00~4:00,1,0,0,0,0,0,0,0,2,25.5,86,0,1.4,8,0,0,0,0,0,0,0,0,0,0
,4:00~5:00,1,0,0,0,0,0,0,0,2,25.6,85,0,1.1,9,0,0,0,0,0,0,0,0,0,0
,5:00~6:00,1,0,0,0,0,0,0,0,2,25.3,89,0,1.6,7,0.01,1,1,1,1,3,1,3,2,0
,6:00~7:00,1,0,0,0,0,0,0,0,1,25,90,0,0.9,13,0.13,2,2,2,2,4,3,3,3,0
,7:00~8:00,1,0,1,0,0,0,0,0,1,26.3,84,0,1.8,13,0.3,3,3,4,4,5,3,3,3,0
,8:00~9:00,1,0,1,0,0,0,0,0,1,27.9,77,0,1.3,9,1.28,4,4,5,5,5,3,3,3,0
,9:00~10:00,1,0,0,0,1,0,0,0,1,28,81,0,1.4,8,0.72,3,3,4,4,5,3,3,2,0
,10:00~11:00,1,0,0,0,1,0,0,0,1,28.8,78,0,1.8,10,0.89,2,2,3,3,4,2,2,2,0
,11:00~12:00,1,0,0,0,1,0,0,0,1,29.6,68,0,2.2,8,1.58,2,2,2,2,3,2,2,2,0
,12:00~13:00,1,0,0,0,1,0,0,0,1,31.8,58,0,4.4,7,2.39,2,2,2,2,3,2,2,2,0
,13:00~14:00,1,0,0,0,1,0,0,0,1,33,52,0,4,6,3.44,2,2,2,2,3,2,2,2,0
,14:00~15:00,1,0,0,0,1,0,0,0,1,33.6,50,0,4.1,7,3.04,2,2,2,2,3,2,2,2,0
,15:00~16:00,1,0,0,0,1,0,0,0,1,32.6,55,0,4.7,7,2.65,2,2,2,2,3,2,2,2,0
,16:00~17:00,1,0,0,0,1,0,0,0,1,30.8,63,0,4.6,7,1.83,2,2,2,2,3,3,3,3,0
,17:00~18:00,1,0,0,0,1,0,0,0,1,30,65,0,5.5,7,1.08,2,2,2,2,4,4,3,3,0
,18:00~19:00,1,0,1,0,0,0,0,0,1,29.2,68,0,5,6,0.58,3,3,3,3,5,4,3,3,0
,19:00~20:00,1,0,1,0,0,0,0,0,1,28.4,72,0,4,6,0.07,2,2,2,2,5,4,3,3,0
,20:00~21:00,1,0,0,0,0,0,0,0,1,27.9,75,0,3.4,6,0,2,2,2,2,4,3,3,3,0
,21:00~22:00,1,0,0,0,0,0,0,0,2,26.9,78,0,4.3,6,0,2,2,2,2,4,2,2,2,0
,22:00~23:00,1,0,0,0,0,0,0,0,2,26.4,81,0,3.2,5,0,2,2,2,2,2,2,2,2,0
,23:00~0:00,1,0,0,0,0,0,0,0,2,25.8,84,0,2,5,0,1,1,1,1,2,1,1,1,0
2022.07.12,0:00~1:00,1,0,0,0,0,0,0,0,2,25.7,85,0,1.6,6,0,1,1,1,1,1,1,1,1,0
,1:00~2:00,1,0,0,0,0,0,0,0,2,25.7,84,0,2.5,7,0,0,0,0,0,0,0,0,0,0
,2:00~3:00,1,0,0,0,0,0,0,0,2,25.4,86,0,2.4,7,0,0,0,0,0,0,0,0,0,0
,3:00~4:00,1,0,0,0,0,0,0,0,2,25.6,82,0,1.2,6,0,0,0,0,0,0,0,0,0,0
,4:00~5:00,1,0,0,0,0,0,0,0,2,25.3,84,0,1.6,4,0,0,0,0,0,0,0,0,0,0
,5:00~6:00,1,0,0,0,0,0,0,0,2,25.4,84,0,1.1,6,0,1,1,1,1,3,1,3,2,0
,6:00~7:00,1,0,0,0,0,0,0,0,2,25.7,83,0,2.3,6,0.09,2,2,2,2,4,3,3,3,0
,7:00~8:00,1,0,1,0,0,0,0,0,2,26.1,83,0,1.9,7,0.36,3,3,4,4,5,3,3,3,0
,8:00~9:00,1,0,1,0,0,0,0,0,2,26.4,80,0,2.2,7,0.5,4,4,5,5,5,3,3,3,0
,9:00~10:00,1,0,0,0,1,0,0,0,2,26.9,81,0,1.9,6,0.7,3,3,4,4,5,3,3,2,0
,10:00~11:00,1,0,0,0,1,0,0,0,2,27.6,75,0,3.1,6,1.11,2,2,3,3,4,2,2,2,0
,11:00~12:00,1,0,0,0,1,0,0,0,2,27.5,76,0,3,7,0.95,2,2,2,2,3,2,2,2,0
,12:00~13:00,1,0,0,0,1,0,0,0,2,27.4,80,0,2.5,6,0.59,2,2,2,2,3,2,2,2,0
,13:00~14:00,1,0,0,0,1,0,0,0,2,28.2,70,0,2.4,5,0.65,2,2,2,2,3,2,2,2,0
,14:00~15:00,1,0,0,0,1,0,0,0,2,27.3,78,0,2.7,6,0.48,2,2,2,2,3,2,2,2,0
,15:00~16:00,1,0,0,0,1,0,0,0,2,27.5,77,0,4,7,0.49,2,2,2,2,3,2,2,2,0
,16:00~17:00,1,0,0,0,1,0,0,0,2,27.1,78,0,4.7,6,0.61,2,2,2,2,3,3,3,3,0
,17:00~18:00,1,0,0,0,1,0,0,0,2,26.2,81,0,5.5,6,0.18,2,2,2,2,4,4,3,3,0
,18:00~19:00,1,0,1,0,0,0,0,0,4,26,82,0.01,5,6,0.12,3,3,3,3,5,4,3,3,0
,19:00~20:00,1,0,1,0,0,0,0,0,4,25.4,89,0.01,2.6,5,0.01,2,2,2,2,5,4,3,3,0
,20:00~21:00,1,0,0,0,0,0,0,0,4,24.5,98,4.5,2.8,4,0,2,2,2,2,4,3,3,3,0
,21:00~22:00,1,0,0,0,0,0,0,0,4,23.6,100,2,2.7,7,0,2,2,2,2,4,2,2,2,0
,22:00~23:00,1,0,0,0,0,0,0,0,4,24.3,98,0.5,2.6,7,0,2,2,2,2,2,1,1,1,0
,23:00~0:00,1,0,0,0,0,0,0,0,4,23.5,100,0.8,3.9,7,0,1,1,1,1,1,1,1,1,0
2022.07.13,0:00~1:00,1,0,0,0,0,0,0,0,4,22.8,100,1.7,1.6,7,0,1,1,1,1,1,1,1,1,0
,1:00~2:00,1,0,0,0,0,0,0,0,4,22.9,100,19,1.4,4,0,0,0,0,0,0,0,0,0,0
,2:00~3:00,1,0,0,0,0,0,0,0,4,23,100,14.5,3.3,2,0,0,0,0,0,0,0,0,0,0
,3:00~4:00,1,0,0,0,0,0,0,0,4,22.7,100,1.5,2.6,1,0,0,0,0,0,0,0,0,0,0
,4:00~5:00,1,0,0,0,0,0,0,0,4,22.8,100,3,3.1,1,0,0,0,0,0,0,0,0,0,0
,5:00~6:00,1,0,0,0,0,0,0,0,4,22.6,100,1.5,1.9,3,0,1,1,1,1,3,1,3,2,0
,6:00~7:00,1,0,0,0,0,0,0,0,4,22.8,100,0.5,2.6,3,0.03,2,2,2,2,4,3,4,3,0
,7:00~8:00,1,0,1,0,0,0,0,0,4,23.2,100,0.5,2.5,1,0.11,3,3,4,4,5,3,4,3,0
,8:00~9:00,1,0,1,0,0,0,0,0,4,23.4,100,1.5,1.7,1,0.18,4,4,5,5,5,3,4,3,0
,9:00~10:00,1,0,0,0,0,0,0,0,4,23.7,100,1.5,1.6,1,0.37,3,3,4,4,5,3,4,2,0
,10:00~11:00,1,0,0,0,1,0,0,0,4,24.3,98,0,1.9,1,0.63,2,2,3,3,4,2,2,2,0
,11:00~12:00,1,0,0,0,1,0,0,0,4,25,95,0,1.4,15,0.69,2,2,2,2,3,2,2,2,0
,12:00~13:00,1,0,0,0,0,0,0,0,4,23.8,100,0.5,0.9,9,0.18,2,2,2,2,3,2,2,2,0
,13:00~14:00,1,0,0,0,0,0,0,0,4,24.1,100,3.5,2,13,0.24,2,2,2,2,3,2,2,2,0
,14:00~15:00,1,0,0,0,0,0,0,0,4,24.1,99,0,1.4,1,0.28,2,2,2,2,3,2,2,2,0
,15:00~16:00,1,0,0,0,0,0,0,0,2,24.9,98,0,1.4,3,0.54,2,2,2,2,3,2,2,2,0
,16:00~17:00,1,0,0,0,0,0,0,0,2,24.5,96,0,3.1,4,0.5,2,2,2,2,3,3,3,3,0
,17:00~18:00,1,0,0,0,0,0,0,0,2,24.3,95,0,2.5,3,0.3,2,2,2,2,4,4,4,4,0
,18:00~19:00,1,0,1,0,0,0,1,0,2,24.2,95,0,1.9,3,0.13,3,3,3,3,5,4,4,4,0
,19:00~20:00,1,0,1,0,0,0,1,0,2,24.2,92,0,2.9,3,0.03,2,2,2,2,5,4,4,4,0
,20:00~21:00,1,0,0,0,0,0,1,0,2,23.7,95,0,2.5,3,0,2,2,2,2,4,4,4,4,0
,21:00~22:00,1,0,0,0,0,0,0,0,4,23.3,98,0.5,3,2,0,2,2,2,2,4,3,3,3,0
,22:00~23:00,1,0,0,0,0,0,0,0,4,23.3,98,0,1.2,3,0,2,2,2,2,2,1,1,1,0
,23:00~0:00,1,0,0,0,0,0,0,0,4,23.5,97,0,2.2,1,0,1,1,1,1,1,1,1,1,0
2022.07.14,0:00~1:00,1,0,0,0,0,0,0,0,4,23.4,97,0,2.7,2,0,1,1,1,1,1,1,1,1,0
,1:00~2:00,1,0,0,0,0,0,0,0,2,23.3,98,0,3.3,2,0,0,0,0,0,0,0,0,0,0
,2:00~3:00,1,0,0,0,0,0,0,0,2,23.4,97,0,2,2,0,0,0,0,0,0,0,0,0,0
,3:00~4:00,1,0,0,0,0,0,0,0,2,23.3,96,0,2.4,2,0,0,0,0,0,0,0,0,0,0
,4:00~5:00,1,0,0,0,0,0,0,0,2,23.3,96,0,2.2,3,0,0,0,0,0,0,0,0,0,0
,5:00~6:00,1,0,0,0,0,0,0,0,2,23.4,95,0,2.8,1,0.01,1,1,1,1,3,1,3,2,0
,6:00~7:00,1,0,0,0,0,0,0,0,4,23,98,0.5,2.9,2,0.09,2,2,2,2,4,3,4,3,0
,7:00~8:00,1,0,1,0,0,0,0,0,4,23.7,94,0,2.4,2,0.32,3,3,4,4,5,3,4,3,1
,8:00~9:00,1,0,1,0,0,0,0,0,4,24.6,87,0,3.1,1,0.64,4,4,5,5,5,3,4,3,1
,9:00~10:00,1,0,0,0,1,0,0,0,2,25.1,86,0,2.3,2,0.86,3,3,4,4,5,3,4,2,1
,10:00~11:00,1,0,0,0,1,0,0,0,2,25.2,84,0,3,1,0.87,2,2,3,3,4,2,2,2,1
,11:00~12:00,1,0,0,0,1,0,0,0,2,26.8,82,0,2.8,0,1.71,2,2,2,2,3,2,2,2,1
,12:00~13:00,1,0,0,0,1,0,0,0,2,25.4,87,0,2.5,1,0.71,2,2,2,2,3,2,2,2,0
,13:00~14:00,1,0,0,0,0,0,0,0,2,24.2,94,0.5,2.8,4,0.45,2,2,2,2,3,2,2,2,0
,14:00~15:00,1,0,0,0,0,0,0,0,2,23.9,97,1.5,2.7,3,0.48,2,2,2,2,3,2,2,2,0
,15:00~16:00,1,0,0,0,0,0,0,0,4,23.6,97,1.5,3.3,2,0.3,2,2,2,2,4,3,3,3,0
,16:00~17:00,1,0,0,0,0,0,1,0,4,23.5,99,3.5,2.8,3,0.27,2,2,2,2,5,4,4,4,0
,17:00~18:00,1,0,0,0,0,0,1,0,4,23.4,99,4,2.4,3,0.12,2,2,2,2,5,4,4,4,0
,18:00~19:00,1,0,1,0,0,0,1,0,4,23.1,99,4.5,3.8,3,0.05,3,3,3,3,5,4,4,4,0
,19:00~20:00,1,0,1,0,0,0,0,0,4,23,100,3.5,2.4,4,0.01,2,2,2,2,5,4,4,4,0
,20:00~21:00,1,0,0,0,0,0,0,0,4,23,99,1.5,2.4,4,0,2,2,2,2,4,4,4,4,0
,21:00~22:00,1,0,0,0,0,0,0,0,4,22.9,100,0.5,1.8,3,0,2,2,2,2,4,3,3,3,0
,22:00~23:00,1,0,0,0,0,0,0,0,4,23,99,0,2.5,3,0,2,2,2,2,2,1,1,1,0
,23:00~0:00,1,0,0,0,0,0,0,0,4,23,100,0,1.9,4,0,1,1,1,1,1,1,1,1,0
2022.07.15,0:00~1:00,1,0,0,0,0,0,0,0,4,23.1,100,1,1.9,5,0,1,1,1,1,1,1,1,1,0
,1:00~2:00,1,0,0,0,0,0,0,0,2,23.2,100,0,0.9,5,0,0,0,0,0,0,0,0,0,0
,2:00~3:00,1,0,0,0,0,0,0,0,2,23.2,100,0,1.3,4,0,0,0,0,0,0,0,0,0,0
,3:00~4:00,1,0,0,0,0,0,0,0,2,23.4,99,0,2.1,6,0,0,0,0,0,0,0,0,0,0
,4:00~5:00,1,0,0,0,0,0,0,0,2,23.3,100,0,2,4,0,0,0,0,0,0,0,0,0,0
,5:00~6:00,1,0,0,0,0,0,0,0,2,23.5,100,0,2.3,4,0,1,1,1,1,3,1,3,2,0
,6:00~7:00,1,0,0,0,0,0,0,0,4,23.5,100,0,1.2,5,0.05,2,2,2,2,4,3,4,3,0
,7:00~8:00,1,0,1,0,0,0,0,0,4,23.9,96,0,3.2,6,0.31,3,3,4,4,5,3,4,3,0
,8:00~9:00,1,0,1,0,0,0,0,0,4,24,93,0,2.1,7,0.25,4,4,5,5,5,3,4,3,0
,9:00~10:00,1,0,0,0,0,0,0,0,4,23.8,97,0.5,2.6,7,0.39,3,3,4,4,5,3,4,2,0
,10:00~11:00,1,0,0,0,0,0,0,0,4,23.4,100,5,1,7,0.11,2,2,3,3,4,2,2,2,0
,11:00~12:00,1,0,0,0,0,0,0,0,4,23.5,96,3.5,3.8,7,0.67,2,2,2,2,3,2,2,2,0
,12:00~13:00,1,0,0,0,1,0,0,0,2,24.6,97,0,2,7,0.88,2,2,2,2,3,2,2,2,0
,13:00~14:00,1,0,0,0,1,0,0,0,2,25.3,94,0,2.6,5,0.57,2,2,2,2,3,2,2,2,0
,14:00~15:00,1,0,0,0,1,0,0,0,2,24.7,96,0,2.1,7,0.44,2,2,2,2,3,2,2,2,0
,15:00~16:00,1,0,0,0,1,0,0,0,4,24.4,97,2.5,3,5,0.24,2,2,2,2,4,3,3,3,0
,16:00~17:00,1,0,0,0,1,0,0,0,4,24.1,100,17.5,1,0,0.03,2,2,2,2,5,4,4,4,0
,17:00~18:00,1,0,0,0,1,0,0,0,4,24,100,10,2.5,4,0.02,2,2,2,2,5,4,4,4,0
,18:00~19:00,1,0,1,0,0,1,0,0,4,23.9,100,2,1.9,3,0.01,3,3,3,3,5,4,4,4,0
,19:00~20:00,1,0,1,0,0,1,0,0,4,23.6,100,2,3.1,2,0,2,2,2,2,5,4,4,4,0
,20:00~21:00,1,0,0,0,0,1,0,0,4,23.4,100,17,2.1,2,0,2,2,2,2,4,4,4,4,0
,21:00~22:00,1,0,0,0,0,1,0,0,4,23.5,100,1.5,0.7,13,0,2,2,2,2,4,3,3,3,0
,22:00~23:00,1,0,0,0,0,0,0,0,4,23.7,100,0,1,8,0,2,2,2,2,2,1,1,1,0
,23:00~0:00,1,0,0,0,0,0,0,0,4,23.7,100,0,1.1,10,0,1,1,1,1,1,1,1,1,0
2022.07.16,0:00~1:00,0,1,0,0,0,0,0,0,2,23.6,100,0,0.7,1,0,1,1,1,1,1,1,1,1,0
,1:00~2:00,0,1,0,0,0,0,0,0,2,23.6,100,0,0.7,5,0,0,0,0,0,0,0,0,0,0
,2:00~3:00,0,1,0,0,0,0,0,0,2,23.5,100,0,0.8,3,0,0,0,0,0,0,0,0,0,0
,3:00~4:00,0,1,0,0,0,0,0,0,2,23.5,100,0,0.5,2,0,0,0,0,0,0,0,0,0,0
,4:00~5:00,0,1,0,0,0,0,0,0,2,23.5,100,0,1.8,2,0,0,0,0,0,0,0,0,0,0
,5:00~6:00,0,1,0,0,0,0,0,0,2,22.9,100,0,1.3,0,0,1,1,1,1,3,1,3,2,0
,6:00~7:00,0,1,0,0,0,0,0,0,2,22.9,100,1,1.5,15,0.01,2,2,2,2,4,3,4,2,0
,7:00~8:00,0,1,0,0,0,0,0,0,2,22.8,100,0.5,2.6,14,0.09,3,3,4,4,4,3,4,2,0
,8:00~9:00,0,1,0,0,0,0,0,0,2,23,100,0,1.7,13,0.19,4,4,5,5,4,3,4,2,0
,9:00~10:00,0,1,0,0,0,0,0,0,2,22.9,100,0.5,2.7,13,0.36,3,3,4,4,4,3,4,2,0
,10:00~11:00,0,1,0,0,1,0,0,0,2,23.1,100,0,1.2,13,0.39,2,2,3,3,4,2,2,2,0
,11:00~12:00,0,1,0,0,1,0,0,0,4,23.2,100,0,1.8,13,0.23,2,2,2,2,3,2,2,2,0
,12:00~13:00,0,1,0,0,1,0,0,0,4,23.5,100,0,0.6,12,0.23,2,2,2,2,3,2,2,2,0
,13:00~14:00,0,1,0,0,1,0,0,0,4,24.2,99,0,1.2,8,0.48,2,2,2,2,4,3,3,3,0
,14:00~15:00,0,1,0,0,0,1,0,0,4,24.2,98,0.5,2.1,10,0.42,2,2,2,2,5,4,4,4,0
,15:00~16:00,0,1,0,0,0,1,0,0,4,24.4,99,1,2.2,6,0.39,2,2,2,2,5,4,4,4,0
,16:00~17:00,0,1,0,0,1,1,0,0,4,24.3,99,0,2.3,7,0.34,2,2,2,2,5,4,4,4,0
,17:00~18:00,0,1,0,0,0,1,0,0,4,24.4,99,0.5,2.5,9,0.42,2,2,2,2,5,4,4,4,0
,18:00~19:00,0,1,0,0,0,0,0,0,4,24.3,99,0,2.5,8,0.19,3,3,3,3,5,4,4,4,0
,19:00~20:00,0,1,0,0,0,0,0,0,4,23.4,100,0,3.3,7,0.04,2,2,2,2,5,4,4,4,0
,20:00~21:00,0,1,0,0,0,0,0,0,4,23.7,99,0,3.8,7,0,2,2,2,2,4,4,4,4,0
,21:00~22:00,0,1,0,0,0,0,0,0,4,23.3,99,0,3.8,8,0,2,2,2,2,4,3,3,3,0
,22:00~23:00,0,1,0,0,0,0,0,0,4,23,100,0.5,2.1,9,0,2,2,2,2,2,1,1,1,0
,23:00~0:00,0,1,0,0,0,0,0,0,4,23,100,1,2.6,7,0,1,1,1,1,1,1,1,1,0
2022.07.17,0:00~1:00,0,1,0,0,0,0,0,0,2,22.8,99,3.5,4.2,7,0,1,1,1,1,1,1,1,1,0
,1:00~2:00,0,1,0,0,0,0,0,0,2,23.1,100,1,2,9,0,0,0,0,0,0,0,0,0,0
,2:00~3:00,0,1,0,0,0,0,0,0,2,22.9,100,0,2.6,8,0,0,0,0,0,0,0,0,0,0
,3:00~4:00,0,1,0,0,0,0,0,0,2,22.1,100,0,2.2,5,0,0,0,0,0,0,0,0,0,0
,4:00~5:00,0,1,0,0,0,0,0,0,2,22.4,100,0,0.7,0,0,0,0,0,0,0,0,0,0,0
,5:00~6:00,0,1,0,0,0,0,0,0,2,22.8,100,0,2.5,9,0,1,1,1,1,3,1,3,2,0
,6:00~7:00,0,1,0,0,0,0,0,0,2,22.9,100,0.5,2,8,0,2,2,2,2,4,3,4,2,0
,7:00~8:00,0,1,0,0,0,0,0,0,2,23.3,100,0,2.5,9,0,3,3,4,4,4,3,4,2,0
,8:00~9:00,0,1,0,0,0,0,0,0,2,24.1,89,0,4.1,9,0.01,4,4,5,5,4,3,4,2,0
,9:00~10:00,0,1,0,0,1,0,0,0,2,24.8,89,0,2.9,9,0.13,3,3,4,4,4,3,4,2,0
,10:00~11:00,0,1,0,0,1,0,0,0,2,25.7,82,0,2.9,7,0.35,2,2,3,3,4,2,2,2,0
,11:00~12:00,0,1,0,0,1,0,0,0,2,26.3,83,0,4.8,6,1.39,2,2,2,2,3,2,2,2,0
,12:00~13:00,0,1,0,0,1,0,0,0,4,26.6,82,0,4.3,7,0.59,2,2,2,2,3,2,2,2,0
,13:00~14:00,0,1,0,0,1,0,0,0,4,27.3,79,0,4,6,1.1,2,2,2,2,4,3,3,3,0
,14:00~15:00,0,1,0,0,1,1,0,0,4,26.7,84,0,4.5,6,1.44,2,2,2,2,5,4,4,4,0
,15:00~16:00,0,1,0,0,1,1,0,0,1,28.7,79,0,4.6,6,1.72,2,2,2,2,5,4,4,4,0
,16:00~17:00,0,1,0,0,1,1,0,0,1,29.4,78,0,3.6,7,2.97,2,2,2,2,5,4,4,4,0
,17:00~18:00,0,1,0,0,1,1,0,0,1,28.6,81,0,3.1,7,2.21,2,2,2,2,5,4,4,4,0
,18:00~19:00,0,1,0,0,0,0,0,0,1,27.8,83,0,3.7,8,2.71,3,3,3,3,5,4,4,4,0
,19:00~20:00,0,1,0,0,0,0,0,0,1,26.8,85,0,1.8,7,1.95,2,2,2,2,5,4,4,4,0
,20:00~21:00,0,1,0,0,0,0,0,0,1,26.2,87,0,2,8,0.69,2,2,2,2,4,4,4,4,0
,21:00~22:00,0,1,0,0,0,0,0,0,1,25.5,88,0,1.5,8,0.64,2,2,2,2,4,3,3,3,0
,22:00~23:00,0,1,0,0,0,0,0,0,1,25.5,88,0,0.5,13,0.1,2,2,2,2,2,1,1,1,0
,23:00~0:00,0,1,0,0,0,0,0,0,1,24.8,87,0,2.9,13,0,1,1,1,1,1,1,1,1,0
2022.07.18,0:00~1:00,0,1,0,0,0,0,0,0,1,24.1,91,0,1.1,13,0,1,1,1,1,1,1,1,1,0
,1:00~2:00,0,1,0,0,0,0,0,0,1,23.8,96,0,1,13,0,0,0,0,0,0,0,0,0,0
,2:00~3:00,0,1,0,0,0,0,0,0,1,23.4,98,0,0.2,13,0,0,0,0,0,0,0,0,0,0
,3:00~4:00,0,1,0,0,0,0,0,0,1,23.2,99,0,0,13,0,0,0,0,0,0,0,0,0,0
,4:00~5:00,0,1,0,0,0,0,0,0,1,23.3,98,0,1.5,8,0,0,0,0,0,0,0,0,0,0
,5:00~6:00,0,1,0,0,0,0,0,0,1,23.7,98,0,0.5,0,0.02,1,1,1,1,3,1,3,2,0
,6:00~7:00,0,1,0,0,0,0,0,0,2,25.1,94,0,1.3,3,0.33,2,2,2,2,4,3,4,2,0
,7:00~8:00,0,1,0,0,0,0,0,0,2,25.9,91,0,1.6,8,0.49,3,3,4,4,4,3,4,2,0
,8:00~9:00,0,1,0,0,0,0,0,0,2,26.8,83,0,0.7,7,0.68,4,4,5,5,4,3,4,2,0
,9:00~10:00,0,1,0,0,1,0,0,0,2,27.1,80,0,1.8,4,1.2,3,3,4,4,4,3,4,2,0
,10:00~11:00,0,1,0,0,1,0,0,0,2,28.7,76,0,0.9,8,1.72,2,2,3,3,4,2,2,2,0
,11:00~12:00,0,1,0,0,1,0,0,0,2,30.6,72,0,2.2,7,2.97,2,2,2,2,3,2,2,2,0
,12:00~13:00,0,1,0,0,1,0,0,0,1,30.8,67,0,3.1,6,3.22,2,2,2,2,3,2,2,2,0
,13:00~14:00,0,1,0,0,1,0,0,0,1,30.3,68,0,4.5,6,2.94,2,2,2,2,4,3,3,3,0
,14:00~15:00,0,1,0,0,1,0,0,0,1,31.6,65,0,3,6,2.74,2,2,2,2,4,3,3,3,0
,15:00~16:00,0,1,0,0,1,0,0,0,1,31.5,60,0,3.3,8,2.61,2,2,2,2,4,3,3,3,0
,16:00~17:00,0,1,0,0,1,0,0,0,1,30.1,65,0,3.9,7,1.64,2,2,2,2,4,3,3,3,0
,17:00~18:00,0,1,0,0,1,0,0,0,1,30.4,65,0,2.8,8,0.76,2,2,2,2,4,3,3,3,0
,18:00~19:00,0,1,0,0,0,0,0,0,1,29.5,68,0,2.7,9,0.53,3,3,3,3,4,3,3,3,0
,19:00~20:00,0,1,0,0,0,0,0,0,1,28.1,73,0,2.4,8,0.1,2,2,2,2,4,3,3,3,0
,20:00~21:00,0,1,0,0,0,0,0,0,1,27.2,77,0,2.4,7,0,2,2,2,2,4,3,3,3,0
,21:00~22:00,0,1,0,0,0,0,0,0,2,27.3,76,0,2.3,7,0,2,2,2,2,4,2,3,2,0
,22:00~23:00,0,1,0,0,0,0,0,0,2,27.7,76,0,2.9,8,0,2,2,2,2,2,1,1,1,0
,23:00~0:00,0,1,0,0,0,0,0,0,2,27.6,77,0,2.6,8,0,1,1,1,1,1,1,1,1,0
2022.07.19,0:00~1:00,1,0,0,0,0,0,0,0,2,27.3,77,0,3.3,8,0,1,1,1,1,1,1,1,1,0
,1:00~2:00,1,0,0,0,0,0,0,0,2,27.1,75,0,2.1,8,0,0,0,0,0,0,0,0,0,0
,2:00~3:00,1,0,0,0,0,0,0,0,2,27.4,74,0,3.4,9,0,0,0,0,0,0,0,0,0,0
,3:00~4:00,1,0,0,0,0,0,0,0,2,27,76,0,2.8,8,0,0,0,0,0,0,0,0,0,0
,4:00~5:00,1,0,0,0,0,0,0,0,2,27.3,74,0,2.5,9,0,0,0,0,0,0,0,0,0,0
,5:00~6:00,1,0,0,0,0,0,0,0,2,27,75,0,2.1,8,0,1,1,1,1,3,1,3,2,0
,6:00~7:00,1,0,0,0,0,0,0,0,2,26.7,81,0,3.3,9,0.12,2,2,2,2,4,3,4,2,0
,7:00~8:00,1,0,1,0,0,0,0,0,2,27.4,82,0,3.1,10,0.59,3,3,4,4,5,3,4,2,0
