,,,,,,,,,,,,,,,,,,Mita-Line,,Oedo-Line,
,16:00~17:00,N,Y,N,N,Y,Y,N,N,sunny,30.1,60,0,5.9,south-southeast,2.03,,5,4,4,4
,17:00~18:00,N,Y,N,N,Y,Y,N,N,sunny,29.5,62,0,5.1,south-southeast,1.27,,5,4,4,4
,18:00~19:00,N,Y,N,N,N,N,N,N,sunny,28.1,68,0,3.9,south-southeast,0.69,,4,4,3,3
,19:00~20:00,N,Y,N,N,N,N,N,N,sunny,27.2,76,0,4.9,south-southeast,0.14,,3,3,3,3
,20:00~21:00,N,Y,N,N,N,N,N,N,sunny,26.6,80,0,4.1,south,0,,3,3,3,3
,21:00~22:00,N,Y,N,N,N,N,N,N,sunny,26.3,84,0,3.7,south-southeast,0,,3,3,3,3
,22:00~23:00,N,Y,N,N,N,N,N,N,sunny,25.9,86,0,2.6,south-southeast,0,,2,2,2,2
,23:00~0:00,N,Y,N,N,N,N,N,N,sunny,25.6,89,0,2.7,south-southeast,0,,1,1,1,1
2022.07.11,0:00~1:00,Y,N,N,N,N,N,N,N,sunny,25.5,89,0,2.7,southeast,0,,1,1,1,1
,1:00~2:00,Y,N,N,N,N,N,N,N,cloudy,25.3,90,0,2.3,south-southeast,0,,0,0,0,0
,2:00~3:00,Y,N,N,N,N,N,N,N,cloudy,25.4,89,0,1.7,southeast,0,,0,0,0,0
,3:00~4:00,Y,N,N,N,N,N,N,N,cloudy,25.5,86,0,1.4,south,0,,0,0,0,0
,4:00~5:00,Y,N,N,N,N,N,N,N,cloudy,25.6,85,0,1.1,south-southwest,0,,0,0,0,0
,5:00~6:00,Y,N,N,N,N,N,N,N,cloudy,25.3,89,0,1.6,south-southeast,0.01,,3,1,3,2
,6:00~7:00,Y,N,N,N,N,N,N,N,sunny,25,90,0,0.9,west-northwest,0.13,,4,3,4,3
,7:00~8:00,Y,N,Y,N,N,N,N,N,sunny,26.3,84,0,1.8,west-northwest,0.3,,5,3,4,3
,8:00~9:00,Y,N,Y,N,N,N,N,N,sunny,27.9,77,0,1.3,south-southwest,1.28,,5,3,4,3
,9:00~10:00,Y,N,N,N,Y,N,N,N,sunny,28,81,0,1.4,south,0.72,,5,3,4,2
,10:00~11:00,Y,N,N,N,Y,N,N,N,sunny,28.8,78,0,1.8,southwest,0.89,,4,2,2,2
,11:00~12:00,Y,N,N,N,Y,N,N,N,sunny,29.6,68,0,2.2,south,1.58,,3,2,2,2
,12:00~13:00,Y,N,N,N,Y,N,N,N,sunny,31.8,58,0,4.4,south-southeast,2.39,,3,2,2,2
,13:00~14:00,Y,N,N,N,Y,N,N,N,sunny,33,52,0,4,southeast,3.44,,3,2,2,2
,14:00~15:00,Y,N,N,N,Y,N,N,N,sunny,33.6,50,0,4.1,south-southeast,3.04,,3,2,2,2
,15:00~16:00,Y,N,N,N,Y,N,N,N,sunny,32.6,55,0,4.7,south-southeast,2.65,,3,2,2,2
,16:00~17:00,Y,N,N,N,Y,N,N,N,sunny,30.8,63,0,4.6,south-southeast,1.83,,3,3,3,3
,17:00~18:00,Y,N,N,N,Y,N,N,N,sunny,30,65,0,5.5,south-southeast,1.08,,4,4,4,4
,18:00~19:00,Y,N,Y,N,N,N,N,N,sunny,29.2,68,0,5,southeast,0.58,,5,4,4,4
,19:00~20:00,Y,N,Y,N,N,N,N,N,sunny,28.4,72,0,4,southeast,0.07,,5,4,4,4
,20:00~21:00,Y,N,N,N,N,N,N,N,sunny,27.9,75,0,3.4,southeast,0,,4,3,3,3
,21:00~22:00,Y,N,N,N,N,N,N,N,cloudy,26.9,78,0,4.3,southeast,0,,4,2,2,2
,22:00~23:00,Y,N,N,N,N,N,N,N,cloudy,26.4,81,0,3.2,east-southeast,0,,2,2,2,2
,23:00~0:00,Y,N,N,N,N,N,N,N,cloudy,25.8,84,0,2,east-southeast,0,,2,1,1,1
2022.07.12,0:00~1:00,Y,N,N,N,N,N,N,N,cloudy,25.7,85,0,1.6,southeast,0,,1,1,1,1
,1:00~2:00,Y,N,N,N,N,N,N,N,cloudy,25.7,84,0,2.5,south-southeast,0,,0,0,0,0
,2:00~3:00,Y,N,N,N,N,N,N,N,cloudy,25.4,86,0,2.4,south-southeast,0,,0,0,0,0
,3:00~4:00,Y,N,N,N,N,N,N,N,cloudy,25.6,82,0,1.2,southeast,0,,0,0,0,0
,4:00~5:00,Y,N,N,N,N,N,N,N,cloudy,25.3,84,0,1.6,east,0,,0,0,0,0
,5:00~6:00,Y,N,N,N,N,N,N,N,cloudy,25.4,84,0,1.1,southeast,0,,3,1,3,2
,6:00~7:00,Y,N,N,N,N,N,N,N,cloudy,25.7,83,0,2.3,southeast,0.09,,4,3,4,3
,7:00~8:00,Y,N,Y,N,N,N,N,N,cloudy,26.1,83,0,1.9,south-southeast,0.36,,5,3,4,3
,8:00~9:00,Y,N,Y,N,N,N,N,N,cloudy,26.4,80,0,2.2,south-southeast,0.5,,5,3,4,3
,9:00~10:00,Y,N,N,N,Y,N,N,N,cloudy,26.9,81,0,1.9,southeast,0.7,,5,3,4,2
,10:00~11:00,Y,N,N,N,Y,N,N,N,cloudy,27.6,75,0,3.1,southeast,1.11,,4,2,2,2
,11:00~12:00,Y,N,N,N,Y,N,N,N,cloudy,27.5,76,0,3,south-southeast,0.95,,3,2,2,2
,12:00~13:00,Y,N,N,N,Y,N,N,N,cloudy,27.4,80,0,2.5,southeast,0.59,,3,2,2,2
,13:00~14:00,Y,N,N,N,Y,N,N,N,cloudy,28.2,70,0,2.4,east-southeast,0.65,,3,2,2,2
,14:00~15:00,Y,N,N,N,Y,N,N,N,cloudy,27.3,78,0,2.7,south,0.48,,3,2,2,2
,15:00~16:00,Y,N,N,N,Y,N,N,N,cloudy,27.5,77,0,4,south-southeast,0.49,,3,2,2,2
,16:00~17:00,Y,N,N,N,Y,N,N,N,cloudy,27.1,78,0,4.7,southeast,0.61,,3,3,3,3
,17:00~18:00,Y,N,N,N,Y,N,N,N,cloudy,26.2,81,0,5.5,southeast,0.18,,4,4,4,4
,18:00~19:00,Y,N,Y,N,N,N,N,N,rainy,26,82,0.01,5,southeast,0.12,,5,4,4,4
,19:00~20:00,Y,N,Y,N,N,N,N,N,rainy,25.4,89,0.01,2.6,east-southeast,0.01,,5,4,4,4
,20:00~21:00,Y,N,N,N,N,N,N,N,rainy,24.5,98,4.5,2.8,east,0,,4,3,3,3
,21:00~22:00,Y,N,N,N,N,N,N,N,rainy,23.6,100,2,2.7,south-southeast,0,,4,2,2,2
,22:00~23:00,Y,N,N,N,N,N,N,N,rainy,24.3,98,0.5,2.6,south-southeast,0,,2,1,1,1
,23:00~0:00,Y,N,N,N,N,N,N,N,rainy,23.5,100,0.8,3.9,south-southeast,0,,1,1,1,1
2022.07.13,0:00~1:00,Y,N,N,N,N,N,N,N,rainy,22.8,100,1.7,1.6,south-southeast,0,,1,1,1,1
,1:00~2:00,Y,N,N,N,N,N,N,N,rainy,22.9,100,19,1.4,east,0,,0,0,0,0
,2:00~3:00,Y,N,N,N,N,N,N,N,rainy,23,100,14.5,3.3,northeast,0,,0,0,0,0
,3:00~4:00,Y,N,N,N,N,N,N,N,rainy,22.7,100,1.5,2.6,north-northeast,0,,0,0,0,0
,4:00~5:00,Y,N,N,N,N,N,N,N,rainy,22.8,100,3,3.1,north-northeast,0,,0,0,0,0
,5:00~6:00,Y,N,N,N,N,N,N,N,rainy,22.6,100,1.5,1.9,east-northeast,0,,3,1,3,2
,6:00~7:00,Y,N,N,N,N,N,N,N,rainy,22.8,100,0.5,2.6,east-northeast,0.03,,4,3,4,3
,7:00~8:00,Y,N,Y,N,N,N,N,N,rainy,23.2,100,0.5,2.5,north-northeast,0.11,,5,3,4,3
,8:00~9:00,Y,N,Y,N,N,N,N,N,rainy,23.4,100,1.5,1.7,north-northeast,0.18,,5,3,4,3
,9:00~10:00,Y,N,N,N,N,N,N,N,rainy,23.7,100,1.5,1.6,north-northeast,0.37,,5,3,4,2
,10:00~11:00,Y,N,N,N,Y,N,N,N,rainy,24.3,98,0,1.9,north-northeast,0.63,,4,2,2,2
,11:00~12:00,Y,N,N,N,Y,N,N,N,rainy,25,95,0,1.4,north-northwest,0.69,,3,2,2,2
,12:00~13:00,Y,N,N,N,N,N,N,N,rainy,23.8,100,0.5,0.9,south-southwest,0.18,,3,2,2,2
,13:00~14:00,Y,N,N,N,N,N,N,N,rainy,24.1,100,3.5,2,west-northwest,0.24,,3,2,2,2
,14:00~15:00,Y,N,N,N,N,N,N,N,rainy,24.1,99,0,1.4,north-northeast,0.28,,3,2,2,2
,15:00~16:00,Y,N,N,N,N,N,N,N,cloudy,24.9,98,0,1.4,east-northeast,0.54,,3,2,2,2
,16:00~17:00,Y,N,N,N,N,N,N,N,cloudy,24.5,96,0,3.1,east,0.5,,3,3,3,3
,17:00~18:00,Y,N,N,N,N,N,N,N,cloudy,24.3,95,0,2.5,east-northeast,0.3,,4,4,4,4
,18:00~19:00,Y,N,Y,N,N,N,Y,N,cloudy,24.2,95,0,1.9,east-northeast,0.13,,5,4,4,4
,19:00~20:00,Y,N,Y,N,N,N,Y,N,cloudy,24.2,92,0,2.9,east-southeast,0.03,,5,4,4,4
,20:00~21:00,Y,N,N,N,N,N,Y,N,cloudy,23.7,95,0,2.5,east-northeast,0,,4,4,4,4
,21:00~22:00,Y,N,N,N,N,N,N,N,rainy,23.3,98,0.5,3,northeast,0,,4,3,3,3
,22:00~23:00,Y,N,N,N,N,N,N,N,rainy,23.3,98,0,1.2,east-northeast,0,,2,1,1,1
,23:00~0:00,Y,N,N,N,N,N,N,N,rainy,23.5,97,0,2.2,north-northeast,0,,1,1,1,1
2022.07.14,0:00~1:00,Y,N,N,N,N,N,N,N,rainy,23.4,97,0,2.7,northeast,0,,1,1,1,1
,1:00~2:00,Y,N,N,N,N,N,N,N,cloudy,23.3,98,0,3.3,northeast,0,,0,0,0,0
,2:00~3:00,Y,N,N,N,N,N,N,N,cloudy,23.4,97,0,2,northeast,0,,0,0,0,0
,3:00~4:00,Y,N,N,N,N,N,N,N,cloudy,23.3,96,0,2.4,northeast,0,,0,0,0,0
,4:00~5:00,Y,N,N,N,N,N,N,N,cloudy,23.3,96,0,2.2,east-northeast,0,,0,0,0,0
,5:00~6:00,Y,N,N,N,N,N,N,N,cloudy,23.4,95,0,2.8,north-northeast,0.01,,3,1,3,2
,6:00~7:00,Y,N,N,N,N,N,N,N,rainy,23,98,0.5,2.9,northeast,0.09,,4,3,4,3
,7:00~8:00,Y,N,Y,N,N,N,N,N,rainy,23.7,94,0,2.4,northeast,0.32,,5,3,4,3
,8:00~9:00,Y,N,Y,N,N,N,N,N,rainy,24.6,87,0,3.1,north-northeast,0.64,,5,3,4,3
,9:00~10:00,Y,N,N,N,Y,N,N,N,cloudy,25.1,86,0,2.3,northeast,0.86,,5,3,4,2
,10:00~11:00,Y,N,N,N,Y,N,N,N,cloudy,25.2,84,0,3,north-northeast,0.87,,4,2,2,2
,11:00~12:00,Y,N,N,N,Y,N,N,N,cloudy,26.8,82,0,2.8,north,1.71,,3,2,2,2
,12:00~13:00,Y,N,N,N,Y,N,N,N,cloudy,25.4,87,0,2.5,north-northeast,0.71,,3,2,2,2
,13:00~14:00,Y,N,N,N,N,N,N,N,cloudy,24.2,94,0.5,2.8,east,0.45,,3,2,2,2
,14:00~15:00,Y,N,N,N,N,N,N,N,cloudy,23.9,97,1.5,2.7,east-northeast,0.48,,3,2,2,2
,15:00~16:00,Y,N,N,N,N,N,N,N,rainy,23.6,97,1.5,3.3,northeast,0.3,,4,3,3,3
,16:00~17:00,Y,N,N,N,N,N,Y,N,rainy,23.5,99,3.5,2.8,east-northeast,0.27,,5,4,4,4
,17:00~18:00,Y,N,N,N,N,N,Y,N,rainy,23.4,99,4,2.4,east-northeast,0.12,,5,4,4,4
,18:00~19:00,Y,N,Y,N,N,N,Y,N,rainy,23.1,99,4.5,3.8,east-northeast,0.05,,5,4,4,4
,19:00~20:00,Y,N,Y,N,N,N,N,N,rainy,23,100,3.5,2.4,east,0.01,,5,4,4,4
,20:00~21:00,Y,N,N,N,N,N,N,N,rainy,23,99,1.5,2.4,east,0,,4,4,4,4
,21:00~22:00,Y,N,N,N,N,N,N,N,rainy,22.9,100,0.5,1.8,east-northeast,0,,4,3,3,3
,22:00~23:00,Y,N,N,N,N,N,N,N,rainy,23,99,0,2.5,east-southeast,0,,2,1,1,1
,23:00~0:00,Y,N,N,N,N,N,N,N,rainy,23,100,0,1.9,east,0,,1,1,1,1
2022.07.15,0:00~1:00,Y,N,N,N,N,N,N,N,rainy,23.1,100,1,1.9,east-southeast,0,,1,1,1,1
,1:00~2:00,Y,N,N,N,N,N,N,N,cloudy,23.2,100,0,0.9,east-southeast,0,,0,0,0,0
,2:00~3:00,Y,N,N,N,N,N,N,N,cloudy,23.2,100,0,1.3,east,0,,0,0,0,0
,3:00~4:00,Y,N,N,N,N,N,N,N,cloudy,23.4,99,0,2.1,southeast,0,,0,0,0,0
,4:00~5:00,Y,N,N,N,N,N,N,N,cloudy,23.3,100,0,2,east,0,,0,0,0,0
,5:00~6:00,Y,N,N,N,N,N,N,N,cloudy,23.5,100,0,2.3,east,0,,3,1,3,2
,6:00~7:00,Y,N,N,N,N,N,N,N,rainy,23.5,100,0,1.2,east-southeast,0.05,,4,3,4,3
,7:00~8:00,Y,N,Y,N,N,N,N,N,rainy,23.9,96,0,3.2,southeast,0.31,,5,3,4,3
,8:00~9:00,Y,N,Y,N,N,N,N,N,rainy,24,93,0,2.1,south-southeast,0.25,,5,3,4,3
,9:00~10:00,Y,N,N,N,N,N,N,N,rainy,23.8,97,0.5,2.6,south-southeast,0.39,,5,3,4,2
,10:00~11:00,Y,N,N,N,N,N,N,N,rainy,23.4,100,5,1,south-southeast,0.11,,4,2,2,2
,11:00~12:00,Y,N,N,N,N,N,N,N,rainy,23.5,96,3.5,3.8,south-southeast,0.67,,3,2,2,2
,12:00~13:00,Y,N,N,N,Y,N,N,N,cloudy,24.6,97,0,2,south-southeast,0.88,,3,2,2,2
,13:00~14:00,Y,N,N,N,Y,N,N,N,cloudy,25.3,94,0,2.6,east-southeast,0.57,,3,2,2,2
,14:00~15:00,Y,N,N,N,Y,N,N,N,cloudy,24.7,96,0,2.1,south-southeast,0.44,,3,2,2,2
,15:00~16:00,Y,N,N,N,Y,N,N,N,rainy,24.4,97,2.5,3,east-southeast,0.24,,4,3,3,3
,16:00~17:00,Y,N,N,N,Y,N,N,N,rainy,24.1,100,17.5,1,north,0.03,,5,4,4,4
,17:00~18:00,Y,N,N,N,Y,N,N,N,rainy,24,100,10,2.5,east,0.02,,5,4,4,4
,18:00~19:00,Y,N,Y,N,N,Y,N,N,rainy,23.9,100,2,1.9,east-northeast,0.01,,5,4,4,4
,19:00~20:00,Y,N,Y,N,N,Y,N,N,rainy,23.6,100,2,3.1,southeast,0,,5,4,4,4
,20:00~21:00,Y,N,N,N,N,Y,N,N,rainy,23.4,100,17,2.1,southeast,0,,4,4,4,4
,21:00~22:00,Y,N,N,N,N,Y,N,N,rainy,23.5,100,1.5,0.7,west-northwest,0,,4,3,3,3
,22:00~23:00,Y,N,N,N,N,N,N,N,rainy,23.7,100,0,1,south,0,,2,1,1,1
,23:00~0:00,Y,N,N,N,N,N,N,N,rainy,23.7,100,0,1.1,southwest,0,,1,1,1,1
2022.07.16,0:00~1:00,N,Y,N,N,N,N,N,N,cloudy,23.6,100,0,0.7,north-northeast,0,,1,1,1,1
,1:00~2:00,N,Y,N,N,N,N,N,N,cloudy,23.6,100,0,0.7,east-southeast,0,,0,0,0,0
,2:00~3:00,N,Y,N,N,N,N,N,N,cloudy,23.5,100,0,0.8,east-northeast,0,,0,0,0,0
,3:00~4:00,N,Y,N,N,N,N,N,N,cloudy,23.5,100,0,0.5,northeast,0,,0,0,0,0
,4:00~5:00,N,Y,N,N,N,N,N,N,cloudy,23.5,100,0,1.8,northeast,0,,0,0,0,0
,5:00~6:00,N,Y,N,N,N,N,N,N,cloudy,22.9,100,0,1.3,north,0,,3,1,3,2
,6:00~7:00,N,Y,N,N,N,N,N,N,cloudy,22.9,100,1,1.5,north-northwest,0.01,,4,3,4,2
,7:00~8:00,N,Y,N,N,N,N,N,N,cloudy,22.8,100,0.5,2.6,northwest,0.09,,4,3,4,2
,8:00~9:00,N,Y,N,N,N,N,N,N,cloudy,23,100,0,1.7,west-northwest,0.19,,4,3,4,2
,9:00~10:00,N,Y,N,N,N,N,N,N,cloudy,22.9,100,0.5,2.7,west-northwest,0.36,,4,3,4,2
,10:00~11:00,N,Y,N,N,Y,N,N,N,cloudy,23.1,100,0,1.2,west-northwest,0.39,,4,2,2,2
,11:00~12:00,N,Y,N,N,Y,N,N,N,rainy,23.2,100,0,1.8,west-northwest,0.23,,3,2,2,2
,12:00~13:00,N,Y,N,N,Y,N,N,N,rainy,23.5,100,0,0.6,west,0.23,,3,2,2,2
,13:00~14:00,N,Y,N,N,Y,N,N,N,rainy,24.2,99,0,1.2,south,0.48,,4,3,3,3
,14:00~15:00,N,Y,N,N,N,Y,N,N,rainy,24.2,98,0.5,2.1,southwest,0.42,,5,4,4,4
,15:00~16:00,N,Y,N,N,N,Y,N,N,rainy,24.4,99,1,2.2,southeast,0.39,,5,4,4,4
,16:00~17:00,N,Y,N,N,Y,Y,N,N,rainy,24.3,99,0,2.3,south-southeast,0.34,,5,4,4,4
,17:00~18:00,N,Y,N,N,N,Y,N,N,rainy,24.4,99,0.5,2.5,south-southwest,0.42,,5,4,4,4
,18:00~19:00,N,Y,N,N,N,N,N,N,rainy,24.3,99,0,2.5,south,0.19,,5,4,4,4
,19:00~20:00,N,Y,N,N,N,N,N,N,rainy,23.4,100,0,3.3,south-southeast,0.04,,5,4,4,4
,20:00~21:00,N,Y,N,N,N,N,N,N,rainy,23.7,99,0,3.8,south-southeast,0,,4,4,4,4
,21:00~22:00,N,Y,N,N,N,N,N,N,rainy,23.3,99,0,3.8,south,0,,4,3,3,3
,22:00~23:00,N,Y,N,N,N,N,N,N,rainy,23,100,0.5,2.1,south-southwest,0,,2,1,1,1
,23:00~0:00,N,Y,N,N,N,N,N,N,rainy,23,100,1,2.6,south-southeast,0,,1,1,1,1
2022.07.17,0:00~1:00,N,Y,N,N,N,N,N,N,cloudy,22.8,99,3.5,4.2,south-southeast,0,,1,1,1,1
,1:00~2:00,N,Y,N,N,N,N,N,N,cloudy,23.1,100,1,2,south-southwest,0,,0,0,0,0
,2:00~3:00,N,Y,N,N,N,N,N,N,cloudy,22.9,100,0,2.6,south,0,,0,0,0,0
,3:00~4:00,N,Y,N,N,N,N,N,N,cloudy,22.1,100,0,2.2,east-southeast,0,,0,0,0,0
,4:00~5:00,N,Y,N,N,N,N,N,N,cloudy,22.4,100,0,0.7,north,0,,0,0,0,0
,5:00~6:00,N,Y,N,N,N,N,N,N,cloudy,22.8,100,0,2.5,south-southwest,0,,3,1,3,2
,6:00~7:00,N,Y,N,N,N,N,N,N,cloudy,22.9,100,0.5,2,south,0,,4,3,4,2
,7:00~8:00,N,Y,N,N,N,N,N,N,cloudy,23.3,100,0,2.5,south-southwest,0,,4,3,4,2
,8:00~9:00,N,Y,N,N,N,N,N,N,cloudy,24.1,89,0,4.1,south-southwest,0.6,,4,3,4,2
,9:00~10:00,N,Y,N,N,Y,N,N,N,cloudy,24.8,89,0,2.9,south-southwest,0,,4,3,4,2
,10:00~11:00,N,Y,N,N,Y,N,N,N,cloudy,25.7,82,0,2.9,south-southeast,0,,4,2,2,2
,11:00~12:00,N,Y,N,N,Y,N,N,N,cloudy,26.3,83,0,4.8,southeast,0.1,,3,2,2,2
,12:00~13:00,N,Y,N,N,Y,N,N,N,rainy,26.6,82,0,4.3,south-southeast,0.2,,3,2,2,2
,13:00~14:00,N,Y,N,N,Y,N,N,N,rainy,27.3,79,0,4,southeast,0.9,,4,3,3,3
,14:00~15:00,N,Y,N,N,Y,Y,N,N,rainy,26.7,84,0,4.5,southeast,0.5,,5,4,4,4
,15:00~16:00,N,Y,N,N,Y,Y,N,N,sunny,28.7,79,0,4.6,southeast,0.9,,5,4,4,4
,16:00~17:00,N,Y,N,N,Y,Y,N,N,sunny,29.4,78,0,3.6,south-southeast,0.9,,5,4,4,4
,17:00~18:00,N,Y,N,N,Y,Y,N,N,sunny,28.6,81,0,3.1,south-southeast,0.3,,5,4,4,4
,18:00~19:00,N,Y,N,N,N,N,N,N,sunny,27.8,83,0,3.7,south,0.9,,5,4,4,4
,19:00~20:00,N,Y,N,N,N,N,N,N,sunny,26.8,85,0,1.8,south-southeast,0.2,,5,4,4,4
,20:00~21:00,N,Y,N,N,N,N,N,N,sunny,26.2,87,0,2,south,0,,4,4,4,4
,21:00~22:00,N,Y,N,N,N,N,N,N,sunny,25.5,88,0,1.5,south,0,,4,3,3,3
,22:00~23:00,N,Y,N,N,N,N,N,N,sunny,25.5,88,0,0.5,west-northwest,0,,2,1,1,1
,23:00~0:00,N,Y,N,N,N,N,N,N,sunny,24.8,87,0,2.9,west-northwest,0,,1,1,1,1
2022.07.18,0:00~1:00,N,Y,N,N,N,N,N,N,sunny,24.1,91,0,1.1,west-northwest,0,,1,1,1,1
,1:00~2:00,N,Y,N,N,N,N,N,N,sunny,23.8,96,0,1,west-northwest,0,,0,0,0,0
,2:00~3:00,N,Y,N,N,N,N,N,N,sunny,23.4,98,0,0.2,west-northwest,0,,0,0,0,0
,3:00~4:00,N,Y,N,N,N,N,N,N,sunny,23.2,99,0,0,west-northwest,0,,0,0,0,0
,4:00~5:00,N,Y,N,N,N,N,N,N,sunny,23.3,98,0,1.5,south,0,,0,0,0,0
,5:00~6:00,N,Y,N,N,N,N,N,N,sunny,23.7,98,0,0.5,north,0,,3,1,3,2
,6:00~7:00,N,Y,N,N,N,N,N,N,cloudy,25.1,94,0,1.3,east-northeast,0.4,,4,3,4,2
,7:00~8:00,N,Y,N,N,N,N,N,N,cloudy,25.9,91,0,1.6,south,0.1,,4,3,4,2
,8:00~9:00,N,Y,N,N,N,N,N,N,cloudy,26.8,83,0,0.7,south-southeast,0.1,,4,3,4,2
,9:00~10:00,N,Y,N,N,Y,N,N,N,cloudy,27.1,80,0,1.8,east,0.2,,4,3,4,2
,10:00~11:00,N,Y,N,N,Y,N,N,N,cloudy,28.7,76,0,0.9,south,0.4,,4,2,2,2
,11:00~12:00,N,Y,N,N,Y,N,N,N,cloudy,30.6,72,0,2.2,south-southeast,1,,3,2,2,2
,12:00~13:00,N,Y,N,N,Y,N,N,N,sunny,30.8,67,0,3.1,southeast,1,,3,2,2,2
,13:00~14:00,N,Y,N,N,Y,N,N,N,sunny,30.3,68,0,4.5,southeast,1,,4,3,3,3
,14:00~15:00,N,Y,N,N,Y,N,N,N,sunny,31.6,65,0,3,southeast,0.9,,4,3,3,3
,15:00~16:00,N,Y,N,N,Y,N,N,N,sunny,31.5,60,0,3.3,south,0.9,,4,3,3,3
,16:00~17:00,N,Y,N,N,Y,N,N,N,sunny,30.1,65,0,3.9,south-southeast,0.7,,4,3,3,3
,17:00~18:00,N,Y,N,N,Y,N,N,N,sunny,30.4,65,0,2.8,south,0.2,,4,3,3,3
,18:00~19:00,N,Y,N,N,N,N,N,N,sunny,29.5,68,0,2.7,south-southwest,0.4,,4,3,3,3
,19:00~20:00,N,Y,N,N,N,N,N,N,sunny,28.1,73,0,2.4,south,0,,4,3,3,3
,20:00~21:00,N,Y,N,N,N,N,N,N,sunny,27.2,77,0,2.4,south-southeast,0,,4,3,3,3
,21:00~22:00,N,Y,N,N,N,N,N,N,cloudy,27.3,76,0,2.3,south-southeast,0,,4,2,3,2
,22:00~23:00,N,Y,N,N,N,N,N,N,cloudy,27.7,76,0,2.9,south,0,,2,1,1,1
,23:00~0:00,N,Y,N,N,N,N,N,N,cloudy,27.6,77,0,2.6,south,0,,1,1,1,1
2022.07.19,0:00~1:00,Y,N,N,N,N,N,N,N,cloudy,27.3,77,0,3.3,south,0,,1,1,1,1
,1:00~2:00,Y,N,N,N,N,N,N,N,cloudy,27.1,75,0,2.1,south,0,,0,0,0,0
,2:00~3:00,Y,N,N,N,N,N,N,N,cloudy,27.4,74,0,3.4,south-southwest,0,,0,0,0,0
,3:00~4:00,Y,N,N,N,N,N,N,N,cloudy,27,76,0,2.8,south,0,,0,0,0,0
,4:00~5:00,Y,N,N,N,N,N,N,N,cloudy,27.3,74,0,2.5,south-southwest,0,,0,0,0,0
,5:00~6:00,Y,N,N,N,N,N,N,N,cloudy,27,75,0,2.1,south,0,,3,1,3,2
,6:00~7:00,Y,N,N,N,N,N,N,N,cloudy,26.7,81,0,3.3,south-southwest,0.12,,4,3,4,2
,7:00~8:00,Y,N,Y,N,N,N,N,N,cloudy,27.4,82,0,3.1,southwest,0.59,,5,3,4,2
,8:00~9:00,Y,N,Y,N,N,N,N,N,cloudy,28.3,81,0,2.7,south-southwest,0.89,,5,3,4,2
,9:00~10:00,Y,N,N,N,Y,N,N,N,cloudy,28.4,81,0,4.3,south-southwest,0.72,,4,3,4,2
,10:00~11:00,Y,N,N,N,Y,N,N,N,cloudy,29.1,77,0,5,south,1.08,,4,2,2,2
,11:00~12:00,Y,N,N,N,Y,N,N,N,cloudy,30.1,71,0,3.8,south-southwest,2.07,,3,2,2,2
,12:00~13:00,Y,N,N,N,Y,N,N,N,rainy,28.7,79,0,4.3,south-southwest,1.14,,3,2,2,2
,13:00~14:00,Y,N,N,N,Y,N,N,N,rainy,28.6,82,0,3.5,south,1.42,,4,3,3,3
,14:00~15:00,Y,N,N,N,Y,N,N,N,rainy,28.2,81,0,4.5,south,1.08,,4,3,3,3
,15:00~16:00,Y,N,N,N,Y,N,N,N,rainy,27.4,90,0,2.6,south,0.6,,4,3,3,3
,16:00~17:00,Y,N,N,N,Y,N,N,N,rainy,27,92,0,3.2,south,0.32,,4,3,3,3
,17:00~18:00,Y,N,N,N,Y,N,N,N,rainy,26.4,90,0,3.5,south,0.17,,4,3,3,3
,18:00~19:00,Y,N,Y,N,N,N,N,N,cloudy,26.6,88,0,2.8,southwest,0.2,,5,3,4,3
,19:00~20:00,Y,N,Y,N,N,N,N,N,cloudy,26.5,88,0,2.2,south-southwest,0.05,,5,3,4,3
,20:00~21:00,Y,N,N,N,N,N,N,N,cloudy,26,91,0,1.8,south,0,,4,3,3,3
,21:00~22:00,Y,N,N,N,N,N,N,N,cloudy,26.6,87,0,2,south-southwest,0,,4,2,3,2
,22:00~23:00,Y,N,N,N,N,N,N,N,cloudy,26.6,86,0,1.4,south-southwest,0,,2,2,2,2
,23:00~0:00,Y,N,N,N,N,N,N,N,cloudy,26.4,89,0,1.7,southwest,0,,1,1,1,1
2022.07.20,0:00~1:00,Y,N,N,N,N,N,N,N,cloudy,26,90,0,1.7,west-northwest,0,,1,1,1,1
,1:00~2:00,Y,N,N,N,N,N,N,N,cloudy,26.1,90,0,1.4,northwest,0,,0,0,0,0
,2:00~3:00,Y,N,N,N,N,N,N,N,cloudy,26.4,89,0,2,northwest,0,,0,0,0,0
,3:00~4:00,Y,N,N,N,N,N,N,N,cloudy,26.4,88,0,1.9,north,0,,0,0,0,0
,4:00~5:00,Y,N,N,N,N,N,N,N,cloudy,25.6,92,0,0.5,west-northwest,0,,0,0,0,0
,5:00~6:00,Y,N,N,N,N,N,N,N,cloudy,24.9,97,0,1.1,south-southwest,0,,3,1,3,2
,6:00~7:00,Y,N,N,N,N,N,N,N,cloudy,25.9,92,0,1.9,west-northwest,0,,4,3,4,2
,7:00~8:00,Y,N,Y,N,N,N,N,N,cloudy,27.7,84,0,1.4,west-southwest,0.8,,5,3,4,2
,8:00~9:00,Y,N,Y,N,N,N,N,N,cloudy,29.4,73,0,2.6,west,0.9,,5,3,4,2
